timestamp,wheel_speed_rpm,wheel_torque,motor_current,motor_temp,vibration_level,label,anomaly_type
2025-01-01 00:00:00,3298.03,-0.02779,0.796,45.55,0.14468,normal,normal
2025-01-01 01:00:00,2917.04,0.00616,0.7785,23.78,0.04918,normal,normal
2025-01-01 02:00:00,3388.61,0.01246,1.0441,32.91,0.12573,normal,normal
2025-01-01 03:00:00,3913.82,0.0285,0.5847,37.34,0.08739,normal,normal
2025-01-01 04:00:00,2859.51,0.03951,0.6475,45.63,0.09009,normal,normal
2025-01-01 05:00:00,2859.52,0.23604530539361246,1.0073,59.99,0.00119,anomal,torque
2025-01-01 06:00:00,3947.53,-0.02027,0.6809,38.18,0.0,normal,normal
2025-01-01 07:00:00,3460.46,-0.03144,0.9801,28.74,0.07118,normal,normal
2025-01-01 08:00:00,2718.32,-0.00585,1.1399,43.22,0.08988,normal,normal
2025-01-01 09:00:00,3325.54,0.01166,0.7196,50.57,0.03499,normal,normal
2025-01-01 10:00:00,2721.95,0.02468,0.9363,40.86,0.03645,normal,normal
2025-01-01 11:00:00,2720.56,0.16396728829866547,0.5693,32.75,0.10246,anomal,torque
2025-01-01 12:00:00,3145.18,-0.008,0.9509,47.66,0.10251,normal,normal
2025-01-01 13:00:00,1852.03,0.00379,0.8399,45.31,0.07449,normal,normal
2025-01-01 14:00:00,1965.05,-0.02088,0.8946,31.79,0.11121,normal,normal
2025-01-01 15:00:00,2662.63,0.05224,0.6709,43.05,0.03303,normal,normal
2025-01-01 16:00:00,2392.3,-0.04019,0.4678,47.98,0.06576,normal,normal
2025-01-01 17:00:00,3188.55,0.00462,0.9007,49.46,0.14592,normal,normal
2025-01-01 18:00:00,2455.19,0.05059,0.3873,39.47,0.08273,normal,normal
2025-01-01 19:00:00,2152.62,0.00017,0.7365,37.14,0.08505,normal,normal
2025-01-01 20:00:00,3879.39,-0.00475,0.9882,49.82,0.17224,normal,normal
2025-01-01 21:00:00,2864.53,-0.00894,2.1261128632032804,30.32,0.02403,anomal,curren
2025-01-01 22:00:00,3040.52,-0.00451,1.1897,43.51,0.11186,normal,normal
2025-01-01 23:00:00,2145.15,0.03432,1.005,29.04,0.14656,normal,normal
2025-01-02 00:00:00,2673.37,-0.0553,0.6692,48.52,0.06701,normal,normal
2025-01-02 01:00:00,3066.55,0.03834,0.8055,37.94,0.11439,normal,normal
2025-01-02 02:00:00,2309.4,-0.0356,0.7905,50.15,0.04072,normal,normal
2025-01-02 03:00:00,3225.42,-0.00667,0.4836,43.93,0.05253,normal,normal
2025-01-02 04:00:00,2639.62,-0.01073,0.6119,30.21,0.0954,normal,normal
2025-01-02 05:00:00,5601.510304986975,0.01471,0.6878,51.4,0.11194,anomal,speed_
2025-01-02 06:00:00,2638.98,-0.03995,0.3928,52.41,0.12484,normal,normal
2025-01-02 07:00:00,4111.37,0.01155,0.8095,47.06,0.14279,normal,normal
2025-01-02 08:00:00,2991.9,0.05061,0.7502,33.91,0.0773,normal,normal
2025-01-02 09:00:00,2365.37,-0.03408,0.4654,37.55,0.12774,normal,normal
2025-01-02 10:00:00,3493.53,0.00474,0.8808,41.16,0.06631,normal,normal
2025-01-02 11:00:00,2267.49,-0.01655,0.9432,34.37,0.11608,normal,normal
2025-01-02 12:00:00,3125.32,-0.23867189251553353,0.8454,53.54,0.0883,anomal,torque
2025-01-02 13:00:00,288.15649941983173,0.00048,0.7352,41.15,0.09783,anomal,speed_
2025-01-02 14:00:00,5942.734058232758,-0.01604,0.9183,18.37,0.09694,anomal,speed_
2025-01-02 15:00:00,3118.12,0.0122,0.936,42.71,0.01581,normal,normal
2025-01-02 16:00:00,3443.08,0.04511,0.8615,37.21,0.03504,normal,normal
2025-01-02 17:00:00,3102.82,-0.00477,0.6351,39.4,0.0841,normal,normal
2025-01-02 18:00:00,2930.61,0.01799,0.8553,37.05,0.01251,normal,normal
2025-01-02 19:00:00,2819.34,-0.03233,1.0391,46.46,0.11325,normal,normal
2025-01-02 20:00:00,2112.89,-0.02391,0.6807,48.96,0.11486,normal,normal
2025-01-02 21:00:00,2568.09,0.01181,1.2196,42.26,0.09309,normal,normal
2025-01-02 22:00:00,2723.62,0.0371,0.6949,37.29,0.03515,normal,normal
2025-01-02 23:00:00,3634.27,0.00889,0.8065,39.67,0.13521,normal,normal
2025-01-03 00:00:00,3206.17,-0.00783,0.6655,40.16,0.16149,normal,normal
2025-01-03 01:00:00,1942.18,-2e-05,0.8447,33.58,0.08588,normal,normal
2025-01-03 02:00:00,3194.45,-0.03126,0.4516,44.63,0.10042,normal,normal
2025-01-03 03:00:00,2768.95,0.01511,0.6908,43.68,0.08807,normal,normal
2025-01-03 04:00:00,2593.85,0.02206,0.5816,52.32,0.10121,normal,normal
2025-01-03 05:00:00,3367.01,-0.0113,0.8271,50.04,0.07522,normal,normal
2025-01-03 06:00:00,3618.6,-0.01175,0.9989,34.51,0.07862,normal,normal
2025-01-03 07:00:00,3558.77,0.00665,0.9292,46.56,0.11623,normal,normal
2025-01-03 08:00:00,351.0431638165511,-0.01092,0.3257,32.39,0.17382,anomal,speed_
2025-01-03 09:00:00,2814.47,-0.00165,1.2084,45.57,0.024,normal,normal
2025-01-03 10:00:00,3198.76,-0.199380434925526,0.8591,35.87,0.07585,anomal,torque
2025-01-03 11:00:00,3585.33,-0.00618,0.6447,31.81,0.03278,normal,normal
2025-01-03 12:00:00,2712.5,-0.00896,0.8314,42.24,0.14368,normal,normal
2025-01-03 13:00:00,2888.6,-0.01619,0.8352,18.6,0.05649,normal,normal
2025-01-03 14:00:00,2336.2,0.0186,0.6666,25.99,0.02227,normal,normal
2025-01-03 15:00:00,2282.28,-0.00453,0.8396,38.58,0.10553,normal,normal
2025-01-03 16:00:00,3487.52,-0.01623,0.6785,40.66,0.14977,normal,normal
2025-01-03 17:00:00,3813.74,0.03303,0.7191,37.05,0.10654,normal,normal
